"County.Name","Attributes","Values"
"Genesee","Asian",0.6
"Greene","Asian",0.8
"Hamilton","Asian",0.5
"Herkimer","Asian",0.5
"Jefferson","Asian",1.3
"Kings","Asian",10.4
"Lewis","Asian",0.3
"Livingston","Asian",1.2
"Madison","Asian",0.8
"Monroe","Asian",3.2
"Montgomery","Asian",0.7
"Nassau","Asian",7.6
"New York","Asian",11.2
"Niagara","Asian",0.8
"Oneida","Asian",2.8
"Onondaga","Asian",3.1
"Ontario","Asian",1
"Orange","Asian",2.3
"Orleans","Asian",0.4
"Oswego","Asian",0.6
"Otsego","Asian",1.1
"Putnam","Asian",1.8
"Queens","Asian",22.8
"Rensselaer","Asian",2.2
"Richmond","Asian",7.4
"Rockland","Asian",6.1
"St. Lawrence","Asian",1
"Saratoga","Asian",1.8
"Schenectady","Asian",3.2
"Schoharie","Asian",0.7
"Schuyler","Asian",0.3
"Seneca","Asian",0.7
"Steuben","Asian",1.2
"Suffolk","Asian",3.4
"Sullivan","Asian",1.3
"Tioga","Asian",0.7
"Tompkins","Asian",8.5
"Ulster","Asian",1.7
"Warren","Asian",0.7
"Washington","Asian",0.4
"Wayne","Asian",0.5
"Westchester","Asian",5.4
"Wyoming","Asian",0.4
"Yates","Asian",0.4
"Albany","Black",12
"Allegany","Black",1
"Bronx","Black",30.1
"Broome","Black",4.4
"Cattaraugus","Black",1.2
"Cayuga","Black",3.8
"Chautauqua","Black",2
"Chemung","Black",6.2
"Chenango","Black",0.6
"Clinton","Black",3.6
"Columbia","Black",4.3
"Cortland","Black",1.4
"Delaware","Black",1.4
"Dutchess","Black",9.2
"Erie","Black",13
"Essex","Black",2.5
"Franklin","Black",5.5
"Fulton","Black",1.8
"Genesee","Black",2.5
"Greene","Black",5.3
"Hamilton","Black",0.7
"Herkimer","Black",1
"Jefferson","Black",4.7
"Kings","Black",31.9
"Lewis","Black",0.6
"Livingston","Black",2.3
"Madison","Black",1.7
"Monroe","Black",14.4
"Montgomery","Black",1.4
"Nassau","Black",10.5
"New York","Black",12.9
"Niagara","Black",6.7
"Oneida","Black",5.8
